name	b_date	b_month	b_year	sun_sign	b_country	job
Jesse Ventura	15	July	1951	Cancer	United States	politician,_wrestler
Gary Sinise	17	March	1955	Pisces	United States	actor
Zach Braff	6	April	1975	Aries	U.S.	actor,_director
M Night Shyamalan	6	August	1970	Leo	India	film_director
Fred Savage	9	July	1976	Cancer	United States	actor,_director,_producer
Errol Flynn	20	June	1909	Gemini	Australia	actor
Chace Crawford	18	July	1985	Cancer	United States	actor
Cuba Gooding Jr.	2	January	1968	Capricorn	United States	actor
Terrence Howard	11	March	1969	Pisces	United States	actor
Gabriel Iglesias	15	July	1976	Cancer	United States	stand-up_comedian,_actor
Avan Jogia	9	February	1992	Aquarius	Canada	actor
Frank Sinatra	12	December	1915	Sagittarius	United States	singer_and_actor
Aidan Turner	9	June	1983	Gemini	Ireland	actor
Ving Rhames	12	May	1959	Taurus	United States	actor
Elliott Gould	29	August	1938	Virgo	United States	actor
Craig Ferguson	17	May	1962	Taurus	Scotland	actor
Michael Jai White	10	November	1967	Scorpio	United States	actor
Kim Soo-hyun	16	February	1988	Aquarius	South Korea	south_korean_actor
Dave Navarro	7	July	1967	Cancer	United States	guitarist,_singer
Ray Romano	21	December	1957	Sagittarius	United States	actor,_comedian
Jeff Daniels	19	February	1955	Pisces	United States	actor
Tyler Lee Hoechlin	11	September	1987	Virgo	United States	actor
Henry Rollins	13	February	1961	Aquarius	U.S	musician,_actor,_writer,_radio_host
Scott Foley	15	July	1972	Cancer	United States	actor
Frank Grillo	8	June	1965	Gemini	United States	actor
Omar Sharif	10	April	1932	Aries	Egypt	actor
Wes Bentley	4	September	1978	Virgo	United States	actor
Jake Lloyd	5	March	1989	Pisces	United States	child_actor
Michael K. Williams	22	November	1966	Sagittarius	United States	actor
Colin Jost	29	June	1982	Cancer	United States	screenwriter,_actor
Ross Lynch	29	December	1995	Capricorn	United States	singer
Peter Fonda	23	February	1940	Pisces	U.S.	actor,_director
Keith David	4	June	1956	Gemini	United States	actor
Thomas Jane	22	February	1969	Pisces	United States	actor
Lou Diamond Phillips	17	February	1962	Aquarius	Philippines	actor
Lou Ferrigno	9	November	1951	Scorpio	United States	actor
Matt Dillon	18	February	1964	Aquarius	United States	actor,_director
Cole Hauser	22	March	1975	Aries	United States	actor
Ricky Nelson	8	May	1940	Taurus	United States	musician
Brian Austin Green	15	July	1973	Cancer	United States	actor
Jimmy Smits	9	July	1955	Cancer	United States	actor
Vincent Price	27	May	1911	Gemini	United States	actor
John David Washington	28	July	1984	Leo	United States	actor
Jonathan Groff	26	March	1985	Aries	United States	actor
Hugh Dancy	19	June	1975	Gemini	United Kingdom	actor
John Oliver	23	April	1977	Taurus	England	comedian
Brenton Thwaites	10	August	1989	Leo	Australia	film_actor
Shahid Kapoor	25	February	1981	Pisces	India	actor
T-Pain	30	September	1985	Libra	United States	rapper
Andy Milonakis	30	January	1976	Aquarius	United States	comedian,_actor_and_rapper
Dean Cain	31	July	1966	Leo	United States	actor
Peter Stormare	27	August	1953	Virgo	Sweden	actor
Joseph Morgan	16	May	1981	Taurus	United Kingdom	actor
Dylan Sprouse	4	August	1992	Leo	Italy	actor
Anthony Ramos	1	November	1991	Scorpio	United States	actor,_singer-songwriter
Seth Meyers	28	December	1973	Capricorn	United States	american_comedian
Jim Belushi	15	June	1954	Gemini	United States	comedian
Art Garfunkel	5	November	1941	Scorpio	United States	singer,_actor
Sam Waterston	15	November	1940	Scorpio	United States	actor
Jay Baruchel	9	April	1982	Aries	Canada	actor
Scott Caan	23	August	1976	Virgo	United States	actor
Billy Zane	24	February	1966	Pisces	United States	actor
Tom Welling	26	April	1977	Taurus	United States	american_actor
Colton Haynes	13	July	1988	Cancer	United States	actor,_model
William Baldwin	21	February	1963	Pisces	United States	actor
Cha Eun-woo	30	March	1997	Aries	South Korea	singer
Martin Short	26	March	1950	Aries	Canada	actor
George Takei	20	April	1937	Taurus	United States	actor,_activist
Steven Seagal	10	April	1952	Aries	United States	actor
Nam Joo-hyuk	22	February	1994	Pisces	South Korea	actor,_model
Chuck Connors	10	April	1921	Aries	United States	actor
Pablo Schreiber	26	April	1978	Taurus	Canada	actor
Mario Lopez	10	October	1973	Libra	United States	actor,_radio_host
Rip Torn	6	February	1931	Aquarius	United States	actor
Mick Foley	7	June	1965	Gemini	United States	actor,_wrestler
Billy Dee Williams	6	April	1937	Aries	United States	actor,_novelist
Richard Dawson	20	November	1932	Scorpio	England	actor
Stan Laurel	16	June	1890	Gemini	England	actor
Jonathan Banks	31	January	1947	Aquarius	United States	actor
Evan Ross	26	August	1988	Virgo	United States	actor_&amp;_singer
Gong Yoo	10	July	1979	Cancer	South Korea	actor
Alexander Dreymon	7	February	1983	Aquarius	Germany	actor
John Rhys-Davies	5	May	1944	Taurus	United Kingdom	actor
Eric Cantona	24	May	1966	Gemini	France	football_player,_actor
Ne-Yo	18	October	1979	Libra	U.S.	american_singer-songwriter
Stefán Karl Stefánsson	10	July	1975	Cancer	Iceland	actor
Max von Sydow	10	April	1929	Aries	Sweden	actor
Garrett Hedlund	3	September	1984	Virgo	United States	actor,_model
Finn Wittrock	28	October	1984	Scorpio	United States	actor
Tom Kenny	13	July	1962	Cancer	United States	actor
Kevin Spacey	26	July	1959	Leo	United States	actor
Varun Dhawan	24	April	1987	Taurus	India	actor
Michael Rooker	6	April	1955	Aries	United States	actor
Billy Crystal	14	March	1948	Pisces	United States	actor
Michael McKean	17	October	1947	Libra	United States	actor
John Aniston	24	July	1933	Leo	Greece	actor
Montgomery Clift	17	October	1920	Libra	United States	actor
Ciarán Hinds	9	February	1953	Aquarius	Northern Ireland	actor
Ryan O'Neal	20	April	1941	Taurus	United States	actor
Steven Yeun	21	December	1983	Sagittarius	South Korea	actor,_singer
Booboo Stewart	21	January	1994	Aquarius	United States	actor
Orson Welles	6	May	1915	Taurus	United States	actor,_director
Matthew Daddario	1	October	1987	Libra	United States	actor
Mike Colter	26	August	1976	Virgo	United States	actor
Trey Parker	19	October	1969	Libra	United States	actor
Walter Matthau	1	October	1920	Libra	United States	actor
Ernest Borgnine	24	January	1917	Aquarius	United States	actor
Joey Lawrence	20	April	1976	Taurus	United States	actor
Vinnie Jones	5	January	1965	Capricorn	England	actor,_former_pro_footballer
Ryan Eggold	10	August	1984	Leo	United States	actor
Nick Jonas	16	September	1992	Virgo	United States	singer-songwriter
Harry Connick Jr.	11	September	1967	Virgo	United States	american_singer
Tony Curtis	3	June	1925	Gemini	United States	actor
James Coburn	31	August	1928	Virgo	U.S.	actor
Macaulay Culkin	26	August	1980	Virgo	United States	actor
Wilford Brimley	27	September	1934	Libra	United States	actor
Jim Varney	15	June	1949	Gemini	United States	actor
Adam Baldwin	27	February	1962	Pisces	United States	actor
Toby Jones	7	September	1966	Virgo	England	actor
DJ Qualls	10	June	1978	Gemini	United States	actor
Lee Min-ho	22	June	1987	Cancer	South Korea	actor
Jaeden Lieberher	4	January	2003	Capricorn	United States	actor
The Great Khali	27	August	1972	Virgo	India	professional_wrestler
Thomas Gibson	3	July	1962	Cancer	U.S.	actor
Roy Scheider	10	November	1932	Scorpio	United States	actor
Keith Carradine	8	August	1949	Leo	United States	actor
Lee Joon-gi	17	April	1982	Aries	South Korea	actor,_model
Kim Woo-bin	16	July	1989	Cancer	South Korea	actor
Bob Fosse	23	June	1927	Cancer	U.S.	dancer
John Heard	7	March	1946	Pisces	United States	actor
Kieran Culkin	30	September	1982	Libra	United States	actor
Eli Roth	18	April	1972	Aries	United States	film_director,_writer
Oliver Reed	13	February	1938	Aquarius	England	actor
Robert Forster	13	July	1941	Cancer	United States	actor
Shaquille O’ Neal	6	March	1972	Pisces	United States	former_basketball_player
Drew Scott	28	April	1978	Taurus	Canada	actor,_realtor
Ioan Gruffudd	6	October	1973	Libra	Wales	actor
Hiroyuki Sanada	12	October	1960	Libra	Japan	actor
Burgess Meredith	16	November	1907	Scorpio	United States	actor
Telly Savalas	21	January	1922	Aquarius	United States	actor,_singer
John Corbett	9	May	1961	Taurus	United States	actor
Park Hyung-sik	16	November	1991	Scorpio	South Korea	singer,_actor
Jaclyn Smith	26	October	1945	Scorpio	United States	actress
Bob Crane	13	July	1928	Cancer	United States	actor
Titus Welliver	12	March	1962	Pisces	United States	actor
Robert Duvall	5	January	1931	Capricorn	United States	actor
Lee Van Cleef	9	January	1925	Capricorn	United States	actor
George Hamilton	12	August	1939	Leo	United States	film_actor
Carroll O’Connor	2	August	1924	Leo	United States	actor
Jean Reno	30	July	1948	Leo	Morocco	actor
Groucho Marx	2	October	1890	Libra	United States	comedian
Katt Williams	2	September	1971	Virgo	United States	stand-up_comedian,_actor
Chris Colfer	27	May	1990	Gemini	United States	actor
Peter Boyle	18	October	1935	Libra	United States	actor
Craig T. Nelson	4	April	1944	Aries	United States	actor
Lex Luger	2	June	1958	Gemini	United States	professional_wrestler
Mike Judge	17	October	1962	Libra	Ecuador	actor,_cartoonist,_director,_musician
Peter Facinelli	26	November	1973	Sagittarius	United States	actor
John Astin	30	March	1930	Aries	United States	actor
George Lopez	23	April	1961	Taurus	United States	comedian,_actor
Kel Mitchell	25	August	1978	Virgo	United States	actor
Lee Byung-hun	12	July	1970	Cancer	South Korea	actor
Russell Peters	29	September	1970	Libra	Canada	comedian
Jack Quaid	4	April	1992	Aries	United States	actor
Steve Austin	18	December	1964	Sagittarius	United States	professional_wrestler,_actor,_tv_host
Danny Kaye	18	January	1911	Capricorn	United States	actor
David Mitchell (Comedian)	14	July	1974	Cancer	United Kingdom	comedian
Michael Palin	5	May	1943	Taurus	England	comedian,_actor
Lee Dong-wook	6	November	1981	Scorpio	South Korea	actor
Saif Ali Khan	16	August	1970	Leo	India	actor
Damon Wayans Jr.	18	November	1982	Scorpio	United States	actor
Chris Noth	13	November	1954	Scorpio	United States	actor
Gary Cole	20	September	1956	Virgo	United States	actor
Edward Herrmann	21	July	1943	Cancer	United States	actor
Albert Brooks	22	July	1947	Cancer	United States	actor,_comedian,_director
Johnny Crawford	26	March	1946	Aries	United States	actor
Isaiah Washington	3	August	1963	Leo	United States	actor
Glenn Ford	1	May	1916	Taurus	Canada	actor
Jake T. Austin	3	December	1994	Sagittarius	United States	actor
John Slattery	13	August	1962	Leo	United States	actor
Ron Howard	1	March	1954	Pisces	United States	actor
Lloyd Bridges	15	January	1913	Capricorn	United States	actor
Caitlyn Jenner	28	October	1949	Scorpio	United States	media_personality,_socialite
Gabriel Byrne	12	May	1950	Taurus	Ireland	actor,_director
Richard Pryor	1	December	1940	Sagittarius	United States	comedian
Will Forte	17	June	1970	Gemini	United States	actor
Tony Goldwyn	20	May	1960	Taurus	United States	actor
Bradley Walsh	4	June	1960	Gemini	England	actor
Martin Landau	20	June	1928	Gemini	United States	actor
Jeffrey Jones	28	September	1946	Libra	United States	actor
Clint Howard	20	April	1959	Taurus	United States	actor
Keenen Ivory Wayans	8	June	1958	Gemini	United States	actor
Shawn Wayans	19	January	1971	Capricorn	United States	actor
Dean Winters	20	July	1964	Cancer	United States	actor
Thomas Doherty	21	April	1995	Taurus	Scotland	actor
Ken Watanabe	21	October	1959	Libra	Japan	actor
Phil Collins	30	January	1951	Aquarius	United Kingdom	drummer,_singer
Charles Melton	4	January	1991	Capricorn	United States	actor
Stephen Dorff	29	July	1973	Leo	Georgia	actor
Randolph Scott	23	January	1898	Aquarius	United States	actor
Jason Priestley	28	August	1969	Virgo	Canada	actor
Shia LaBeouf	11	June	1986	Gemini	United States	actor
Kumail Nanjiani	1	February	1978	Aquarius	Pakistan	comedian
Roddy McDowall	17	September	1928	Virgo	England	actor
Alex O Loughlin	24	August	1976	Virgo	Australia	actor
Kishore Kumar	4	August	1929	Leo	India	indian_playback_singer
Alec Baldwin	3	April	1958	Aries	United States	actor,_producer
Richard Thomas	3	July	1951	Cancer	United States	actor
Terence Stamp	22	July	1938	Cancer	United Kingdom	actor
William Hurt	20	March	1950	Pisces	United States	actor
Justin Theroux	10	August	1971	Leo	United States	actor
Bing Crosby	3	May	1903	Taurus	United States	actor,_singer
Peter Gallagher	19	August	1955	Leo	United States	actor
Spencer Tracy	5	April	1900	Aries	United States	actor
Olivier Martinez	12	January	1966	Capricorn	France	actor
Judd Nelson	28	November	1959	Sagittarius	United States	american_actor
Jason Patric	17	June	1966	Gemini	United States	actor
Chandler Riggs	27	June	1999	Cancer	United States	actor
Lee Seung-gi	13	January	1987	Capricorn	South Korea	singer
Denis Leary	18	August	1957	Leo	United States	actor
Balthazar Getty	22	January	1975	Aquarius	United States	actor
Ingmar Bergman	14	July	1918	Cancer	Sweden	director_&amp;_actor
Hervé Villechaize	23	April	1943	Taurus	France	actor
John Cassavetes	9	December	1929	Sagittarius	United States	actor,_director
Andy Whitfield	17	October	1971	Libra	United Kingdom	actor
Mindy Kaling	24	June	1979	Cancer	United States	actor,_screenwriter,_comedian
Rory Culkin	21	July	1989	Cancer	United States	actor
Matt Lucas	5	March	1974	Pisces	England	actor
Michael Pitt	10	April	1981	Aries	United States	actor
Roger Daltrey	1	March	1944	Pisces	England	singer
Stacy Keach	2	June	1941	Gemini	United States	actor
Valter Skarsgård	25	October	1995	Scorpio	Sweden	actor
Joe Jonas	15	August	1989	Leo	United States	singer-songwriter
Thomas Haden Church	17	June	1960	Gemini	United States	actor
Alden Ehrenreich	22	November	1989	Sagittarius	United States	actor
Tahj Mowry	17	May	1986	Taurus	United States	actor
Oliver Jackson-Cohen	24	October	1986	Scorpio	England	actor
Vic Morrow	14	February	1929	Aquarius	United States	actor
Ansel Elgort	14	March	1994	Pisces	United States	actor
Jackie Gleason	26	February	1916	Pisces	U.S	comedian
Rick Hoffman	12	June	1970	Gemini	United States	actor
Paul Walter Hauser	15	October	1986	Libra	United States	actor
Alan Alda	28	January	1936	Aquarius	United States	actor
Wayne Knight	7	August	1955	Leo	United States	actor
Richard Kiel	13	September	1939	Virgo	United States	actor
Barry Van Dyke	31	July	1951	Leo	Georgia	actor
James Mason	15	May	1909	Taurus	England	actor
Moe Howard	19	June	1897	Gemini	United States	actor
Scott Glenn	26	January	1939	Aquarius	United States	actor
Dana Carvey	2	June	1955	Gemini	United States	comedian
George Segal	13	February	1934	Aquarius	United States	actor
Chris Klein	14	March	1979	Pisces	United States	actor
David Krumholtz	15	May	1978	Taurus	United States	actor
Peter Finch	28	September	1916	Libra	United Kingdom	actor
Boris Kodjoe	8	March	1973	Pisces	Austria	actor,_former_model
Henry Lau	11	October	1989	Libra	Canada	singer
Greg Sestero	15	July	1978	Cancer	United States	actor
Bill Bixby	22	January	1934	Aquarius	United States	actor
Karan Brar	18	January	1999	Capricorn	United States	actor
Wayne Rogers	7	April	1933	Aries	United States	actor
Tanner Buchanan	8	December	1998	Sagittarius	United States	actor_&amp;_model
Luke Grimes	21	January	1984	Aquarius	United States	actor
Chris Elliott	31	May	1960	Gemini	United States	actor
Dean-Charles Chapman	7	September	1997	Virgo	United Kingdom	actor
Lance Bass	4	May	1979	Taurus	United States	singer
Jack Palance	18	February	1919	Aquarius	United States	actor
Joel Edgerton	23	June	1974	Cancer	Australia	actor
Patrick Wayne	15	July	1939	Cancer	United States	actor
Chris Parnell	5	February	1967	Aquarius	United States	actor
Corey Haim	23	December	1971	Capricorn	Canada	actor
Lennie James	11	October	1965	Libra	England	actor
Sacha Baron Cohen	13	October	1971	Libra	England	actor
Russell Tovey	14	November	1981	Scorpio	England	actor
Harry Morgan	10	April	1915	Aries	United States	actor
Rik Mayall	7	March	1958	Pisces	England	comedian
Luis Guzmán	28	August	1956	Virgo	Puerto Rico	actor
Machine Gun Kelly	22	April	1990	Taurus	United States	rapper
Jussie Smollett	21	June	1982	Gemini	United States	actor
Scarlett Johansson	22	November	1984	Sagittarius	United States	actress
Jennifer Aniston	11	February	1969	Aquarius	United States	actress
Angelina Jolie	4	June	1975	Gemini	United States	actress
Emma Watson	15	April	1990	Aries	France	actress,_activist
Marilyn Monroe	1	June	1926	Gemini	United States	actress
Jennifer Lawrence	15	August	1990	Leo	United States	actress
Carrie Fisher	21	October	1956	Libra	United States	actress
Emma Stone	6	November	1988	Scorpio	United States	actress
Audrey Hepburn	4	May	1929	Taurus	Belgium	film_actress
Natalie Portman	9	June	1981	Gemini	Israel	actress
Julia Roberts	28	October	1967	Scorpio	United States	actress
Charlize Theron	7	August	1975	Leo	South Africa	actress
Sandra Bullock	26	July	1964	Leo	United States	actress
Judy Garland	10	June	1922	Gemini	United States	actress
Anne Hathaway	12	November	1982	Scorpio	United States	actress
Kate Winslet	5	October	1975	Libra	England	actress
Betty White	17	January	1922	Capricorn	United States	actress,_comedian
Meryl Streep	22	June	1949	Cancer	United States	actress
Jennifer Garner	17	April	1972	Aries	United States	actress
Amy Adams	20	August	1974	Leo	Italy	actress
Helena Bonham Carter	26	May	1966	Gemini	England	actress
Cameron Diaz	30	August	1972	Virgo	United States	actress
Jamie Lee Curtis	22	November	1958	Sagittarius	United States	actress,_author
Goldie Hawn	21	November	1945	Scorpio	United States	actress
Halle Berry	14	August	1966	Leo	United States	actress
Julie Andrews	1	October	1935	Libra	United Kingdom	actress
Michelle Pfeiffer	29	April	1958	Taurus	United States	actress
Drew Barrymore	22	February	1975	Pisces	United States	actress
Jane Fonda	21	December	1937	Sagittarius	United States	actress
Penelope Cruz	28	April	1974	Taurus	Spain	actress
Susan Sarandon	4	October	1946	Libra	United States	actress
Debbie Reynolds	1	April	1932	Aries	United States	actress
Demi Moore	11	November	1962	Scorpio	United States	actress
Julianne Moore	3	December	1960	Sagittarius	United States	actress
Angela Lansbury	16	October	1925	Libra	England	actress
Meg Ryan	19	November	1961	Scorpio	United States	actress
Kate Hudson	19	April	1979	Aries	United States	actress
Jodie Foster	19	November	1962	Scorpio	United States	actress_&amp;_director
Natalie Wood	20	July	1938	Cancer	United States	actress
Katharine Hepburn	12	May	1907	Taurus	United States	actress
Grace Kelly	12	November	1929	Scorpio	United States	actress
Sigourney Weaver	8	October	1949	Libra	United States	actress
Sally Field	6	November	1946	Scorpio	United States	actress
Elizabeth Taylor	27	February	1932	Pisces	England	actress
Diane Keaton	5	January	1946	Capricorn	United States	actress
Carol Burnett	26	April	1933	Taurus	United States	actress
Jessica Lange	20	April	1949	Taurus	United States	actress_&amp;_producer
Tina Fey	18	May	1970	Taurus	United States	actress
Bette Davis	5	April	1908	Aries	United States	actress
Margot Robbie	2	July	1990	Cancer	Australia	actress
Gal Gadot	30	April	1985	Taurus	Israel	actress,_model
Selena Gomez	22	July	1992	Cancer	United States	actress,_singer
Jennifer Lopez	24	July	1969	Leo	United States	singer,_actress,_dancer
Emilia Clarke	23	October	1986	Libra	England	actress
Sophia Loren	20	September	1934	Virgo	Italy	actress
Millie Bobby Brown	19	February	2004	Pisces	Spain	actress
Elizabeth Olsen	16	February	1989	Aquarius	United States	actress
Beyonce Knowles	4	September	1981	Virgo	United States	singer-songwriter
Blake Lively	25	August	1987	Virgo	United States	model,_actress
Helen Hunt	15	June	1963	Gemini	United States	actress
Mila Kunis	14	August	1983	Leo	Ukraine	actress
Emily Blunt	23	February	1983	Pisces	England	actress
Lucille Ball	6	August	1911	Leo	United States	actress
Julia Louis-Dreyfus	13	January	1961	Capricorn	United States	actress
Anna Kendrick	9	August	1985	Leo	United States	actress
Hilary Swank	30	July	1974	Leo	United States	actress
Kristen Stewart	9	April	1990	Aries	United States	actress
Brie Larson	1	October	1989	Libra	United States	actress
Mary Tyler Moore	29	December	1936	Capricorn	United States	actress
Kristen Bell	18	July	1980	Cancer	United States	actress
Rachel McAdams	17	November	1978	Scorpio	Canada	actress
Courteney Cox	15	June	1964	Gemini	United States	actress
Hailee Steinfeld	11	December	1996	Sagittarius	United States	actress_&amp;_singer
Dakota Johnson	4	October	1989	Libra	United States	actress
Kate Beckinsale	26	July	1973	Leo	England	actress
Kathy Bates	28	June	1948	Cancer	United States	actress
Alexandra Daddario	16	March	1986	Pisces	United States	actress
Salma Hayek	2	September	1966	Virgo	Mexico	actress
Chloe Grace Moretz	10	February	1997	Aquarius	United States	actress
Glenn Close	19	March	1947	Pisces	U.S.	actress
Ingrid Bergman	29	August	1915	Virgo	Sweden	actresses
Sarah Paulson	17	December	1974	Sagittarius	United States	actress
Zooey Deschanel	17	January	1980	Capricorn	United States	actress
Winona Ryder	29	October	1971	Scorpio	United States	actress
Sofia Vergara	10	July	1972	Cancer	Colombia	actress
Zoe Saldana	19	June	1978	Gemini	United States	actress
Meghan Markle	4	August	1981	Leo	United States	actress
Jessica Alba	28	April	1981	Taurus	United States	actress
Jennifer Connelly	12	December	1970	Sagittarius	United States	actress
Bea Arthur	13	May	1922	Taurus	United States	actress
Rachel Weisz	7	March	1970	Pisces	England	actress
Cate Blanchett	14	May	1969	Taurus	Australia	actress
Mariah Carey	27	March	1970	Aries	United States	singer-songwriter
Vanessa Hudgens	14	December	1988	Sagittarius	United States	actress
Daisy Ridley	10	April	1992	Aries	United Kingdom	actress
Britanny Murphy	10	November	1977	Scorpio	United States	actress
Nina Dobrev	9	January	1989	Capricorn	Bulgaria	actress
Kaley Cuoco	30	November	1985	Sagittarius	United States	actress
Shailene Woodley	15	November	1991	Scorpio	United States	actress,_activist
Maisie Williams	15	April	1997	Aries	England	actress
Isla Fisher	3	February	1976	Aquarius	Oman	actress
Evan Rachel Wood	7	September	1987	Virgo	United States	actress
Kirsten Dunst	30	April	1982	Taurus	United States	actress
Emma Roberts	10	February	1991	Aquarius	United States	actress
Gwyneth Paltrow	27	September	1972	Libra	United States	actress
Jessica Chastain	24	March	1977	Aries	United States	actress
Melissa McCarthy	26	August	1969	Virgo	United States	actress
Karen Gillan	28	November	1987	Sagittarius	Scotland	actress
Marisa Tomei	4	December	1964	Sagittarius	United States	actress
Saoirse Ronan	12	April	1994	Aries	United States	actress
Pink	8	September	1979	Virgo	United States	singer-songwriter
Elizabeth Banks	10	February	1974	Aquarius	United States	actress
Bryce Dallas Howard	2	March	1981	Pisces	United States	actress
Jessica Biel	3	March	1982	Pisces	United States	actress
Dakota Fanning	23	February	1994	Pisces	United States	actress
Naomi Scott	6	May	1993	Taurus	England	actress
Naya Rivera	12	January	1987	Capricorn	United States	actress,_singer
Kate McKinnon	6	January	1984	Capricorn	United States	actress
Olivia de Havilland	1	July	1916	Cancer	Japan	actress
Katherine Heigl	24	November	1978	Sagittarius	United States	actress
Ana de Armas	30	April	1988	Taurus	Cuba	actress
Lily Collins	8	March	1989	Pisces	England	actress
Lisa Kudrow	30	July	1963	Leo	United States	actress
Eva Green	6	July	1980	Cancer	France	actress
Emma Thompson	15	April	1959	Aries	England	actress
Alison Brie	29	December	1982	Capricorn	United States	actress
Liv Tyler	1	July	1977	Cancer	United States	actress
Cobie Smulders	3	April	1982	Aries	Canada	actress
Sharon Tate	24	January	1943	Aquarius	United States	model,_actress
Eva Mendes	5	March	1974	Pisces	United States	actress
Vera Farmiga	6	August	1973	Leo	United States	actress
Renee Zellweger	25	April	1969	Taurus	United States	actress
Hilary Duff	28	September	1987	Libra	United States	actress
Jennifer Love Hewitt	21	February	1979	Pisces	United States	actress
Nicole Scherzinger	29	June	1978	Cancer	United States	singer,_actress
Deepika Padukone	5	January	1986	Capricorn	Denmark	actress
Rosamund Pike	27	January	1979	Aquarius	England	actress
Hayden Panettiere	21	August	1989	Leo	United States	actress
Mary Elizabeth Winstead	28	November	1984	Sagittarius	United States	actress
Lindsay Lohan	2	July	1986	Cancer	United States	actress
Viola Davis	11	August	1965	Leo	United States	actress
Ariana Grande	26	June	1993	Cancer	United States	singer-songwriter,_actress
Michelle Williams	9	September	1980	Virgo	United States	actress
Marlene Dietrich	27	December	1901	Capricorn	Germany	actress
Sunny Leone	13	May	1981	Taurus	Canada	actress,_model
Melissa Benoist	4	October	1988	Libra	United States	actress
Angela Bassett	16	August	1958	Leo	United States	actress
Olivia Rodrigo	20	February	2003	Pisces	United States	singer-songwriter,_actress
Rashida Jones	25	February	1976	Pisces	United States	actress
Monica Bellucci	30	September	1964	Libra	Italy	actress
Bridget Moynahan	28	April	1971	Taurus	United States	actress
Uma Thurman	29	April	1970	Taurus	United States	actress
Cherilyn Sarkisian	20	May	1946	Taurus	United States	singer
Milla Jovovich	17	December	1975	Sagittarius	Ukraine	actress
Alexis Bledel	16	September	1981	Virgo	United States	actress
Michelle Rodriguez	12	July	1978	Cancer	United States	actress
Lupita Nyong'o	1	March	1983	Pisces	Mexico	actress
Taraji P. Henson	11	September	1970	Virgo	United States	actress
Sarah Hyland	24	November	1990	Sagittarius	United States	actress
Diane Lane	22	January	1965	Aquarius	United States	actress
Zoë Kravitz	1	December	1988	Sagittarius	United States	actress,_singer
Zoey Deutch	10	November	1994	Scorpio	United States	actress
Maggie Baird	30	March	1959	Aries	United States	actress
Judi Dench	9	December	1934	Sagittarius	United Kingdom	actress
Natalia Dyer	13	January	1997	Capricorn	United States	actress
Krysten Ritter	16	December	1981	Sagittarius	United States	actress
Dolly Parton	19	January	1946	Capricorn	United States	singer-songwriter
Lady Gaga	28	March	1986	Aries	United States	singer-songwriter
Laura Prepon	7	March	1980	Pisces	United States	actress
Amanda Seyfried	3	December	1985	Sagittarius	United States	actress
Laura Dern	10	February	1967	Aquarius	United States	actress,_director
Lucy Liu	2	December	1968	Sagittarius	United States	actress,_producer,_artist
Natalie Dormer	11	February	1982	Aquarius	United Kingdom	actress
Joan Crawford	23	March	1904	Aries	United States	actress
Barbara Stanwyck	16	July	1907	Cancer	United States	actress
Morena Baccarin	2	June	1979	Gemini	Brazil	actress
Katie Holmes	18	December	1978	Sagittarius	United States	actress
Diane Kruger	15	July	1976	Cancer	Germany	actress
Sissy Spacek	25	December	1949	Capricorn	United States	actress
Kim Basinger	8	December	1953	Sagittarius	United States	actress
Greta Garbo	18	September	1905	Virgo	Sweden	actress
Robin Wright	8	April	1966	Aries	United States	actress
Claire Danes	12	April	1979	Aries	United States	actress
Allison Janney	19	November	1959	Scorpio	United States	actress
Sarah Michelle Gellar	14	April	1977	Aries	United States	actress
Carla Gugino	29	August	1971	Virgo	United States	actress
Sandra Oh	20	July	1971	Cancer	Canada	actress
Jada Pinkett Smith	18	September	1971	Virgo	United States	actress
Ashley Olsen	13	June	1986	Gemini	United States	fashion_designer
Lori Loughlin	28	July	1964	Leo	United States	actress
Marion Cotillard	30	September	1975	Libra	France	actress
Rita Hayworth	17	October	1918	Libra	United States	actress,_dancer
Ava Gardner	24	December	1922	Capricorn	United States	actress
Lacey Chabert	30	September	1982	Libra	United States	actress
Julia Stiles	28	March	1981	Aries	United States	actress
Jenny McCarthy	1	November	1972	Scorpio	United States	actress
Mary Steenburgen	8	February	1953	Aquarius	United States	actress
Alicia Silverstone	4	October	1976	Libra	United States	actress
Rose Byrne	24	July	1979	Leo	Australia	actress
Fergie	27	March	1975	Aries	United States	singer-songwriter
Kat Dennings	13	June	1986	Gemini	United States	actress
Evangeline Lilly	3	August	1979	Leo	Canada	actress
Amy Poehler	16	September	1971	Virgo	United States	actress
Hedy Lamarr	9	November	1914	Scorpio	Austria	actress,_inventor
Lizzy Caplan	30	June	1982	Cancer	United States	actress
Jenna Coleman	27	April	1986	Taurus	United Kingdom	actress
Anna Faris	29	November	1976	Sagittarius	United States	actress
Léa Seydoux	1	July	1985	Cancer	France	actress
Victoria Justice	19	February	1993	Pisces	United States	actress,_singer
Natasha Lyonne	4	April	1979	Aries	United States	actress
Eva Longoria	15	March	1975	Pisces	United States	actress
Elisabeth Shue	6	October	1963	Libra	United States	actress
Shay Mitchell	10	April	1987	Aries	Canada	actress
Emma Mackey	4	January	1996	Capricorn	France	actress
Anna Paquin	24	July	1982	Leo	Canada	actress
Vanessa Kirby	18	April	1988	Aries	England	actress
Thandie Newton	6	November	1972	Scorpio	United Kingdom	actress
Jennifer Hudson	12	September	1981	Virgo	United States	actress,_singer
